HSLGOverallCumulativeGradePointAverage,HSLGMathematicsCumulativeGradePointAverage,CCENCRFLCollegeCode,CCENCRFLCourseMarkPoints,CCIsMultiCollege,CCTransferableUnitsAttempted,CCTransferableUnitsEarned,GPA_present,cc_first_course_success_ind,pre_alg_up11_c,alg_i_up11_c,alg_ii_up11_c,geo_up11_c,trig_up11_c,pre_calc_up11_c,calc_up11_c,stat_up11_c
NA,NA,572,4,0,39,34,0,1,0,0,0,0,0,0,0,0
2.1,1.56,571,2,1,63,45,1,1,0,0,0,0,0,0,0,0
3.68,3.43,576,4,1,72,69,1,1,0,0,1,0,0,0,0,0
NA,NA,572,3,1,82,78,0,1,0,0,0,0,0,0,0,0
1.67,NA,572,1,1,77,151.99,1,0,0,0,0,0,0,0,0,0
2.44,1.56,572,1,1,14,11,1,0,0,1,0,1,0,0,0,0
2.52,2.05,576,3,1,60,60,0,1,0,0,0,1,0,0,0,0
NA,NA,571,2,0,44.5,44.5,0,1,0,0,0,0,0,0,0,0
NA,NA,572,2,1,54.5,54.5,0,1,0,0,0,0,0,0,0,0
NA,NA,572,2,1,74,260.98,0,1,0,0,0,0,0,0,0,0
2.68,2.08,571,0,1,60.5,57.5,1,0,0,0,1,1,0,0,0,0
3.89,3.7,572,3,1,25,25,0,1,0,0,0,0,0,0,0,0
NA,NA,572,0,1,49,45,0,0,0,0,0,0,0,0,0,0
NA,NA,571,4,0,85,84,0,1,0,0,0,0,0,0,0,0
NA,NA,571,4,0,70,70,0,1,0,0,0,0,0,0,0,0
3.03,2.14,571,3,1,65,65,1,1,0,0,0,1,0,0,0,0
3.34,2.55,576,3,1,69,66,1,1,0,1,0,1,0,0,0,0
NA,NA,572,1,1,77,169.99,0,0,0,0,0,0,0,0,0,0
NA,NA,571,3,1,129,125,0,1,0,0,0,0,0,0,0,0
NA,NA,571,0,1,25,17,0,0,0,0,0,0,0,0,0,0
NA,NA,572,4,1,66,45,0,1,0,0,0,0,0,0,0,0
3.19,3.8,572,1,1,63,56,1,0,0,1,1,0,0,0,0,0
NA,NA,572,3,1,39,31,0,1,0,0,0,0,0,0,0,0
2.53,3.5,572,4,1,68,65,1,1,0,0,0,0,0,0,0,0
NA,NA,572,4,1,41,41,0,1,0,0,0,0,0,0,0,0
3.35,3.2,571,0,1,138,121,1,0,0,0,1,1,0,0,0,0
1.5,NA,572,3,1,30,30,0,1,0,0,0,0,0,0,0,0
2.46,1.57,572,2,1,68,62,1,1,0,0,0,0,0,0,0,0
3.65,3.33,572,4,1,85,82,1,1,0,0,1,1,0,0,0,0
NA,NA,572,4,1,7,7,0,1,0,0,0,0,0,0,0,0
3.36,2.78,572,4,1,67,67,1,1,0,0,1,0,0,0,0,0
NA,NA,572,2,0,37,34,0,1,0,0,0,0,0,0,0,0
3.61,2.6,571,3,1,62,62,1,1,0,0,1,1,0,0,0,0
NA,NA,572,2,1,37,33,0,1,0,0,0,0,0,0,0,0
3.14,3.84,576,4,1,14,14,1,1,0,0,1,1,0,0,0,0
NA,NA,571,4,0,4,4,0,1,0,0,0,0,0,0,0,0
2.73,1.9,571,3,1,38,26,1,1,0,0,0,0,0,0,0,0
2.12,1.99,572,0,1,9,5,1,0,0,0,0,1,0,0,0,0
NA,NA,571,3,1,62,62,0,1,0,0,0,0,0,0,0,0
NA,NA,571,0,1,56,149.99,0,0,0,0,0,0,0,0,0,0
NA,NA,571,0,1,96,145.99,0,0,0,0,0,0,0,0,0,0
2.3,1.52,571,2,1,37.5,31.5,1,1,0,0,1,0,0,0,0,0
NA,NA,571,3,1,24,18,0,1,0,0,0,0,0,0,0,0
3.28,2.7,571,4,1,23,107.99,1,1,0,0,1,0,0,0,0,0
2.68,2.13,572,2,1,26,22,1,1,0,0,0,1,0,0,0,0
3.14,2.35,571,1,1,79,79,1,0,0,0,1,1,0,0,0,0
3.58,3.25,571,3,1,19,19,1,1,0,0,1,1,0,0,0,0
NA,NA,576,4,1,18,18,0,1,0,0,0,0,0,0,0,0
3.97,4,572,4,1,4,4,0,1,0,0,0,0,0,0,0,0
NA,NA,572,3,0,100.5,96.5,0,1,0,0,0,0,0,0,0,0
2.61,1.43,571,0,1,17,13,1,0,0,0,1,0,0,0,0,0
NA,NA,571,0,0,53,40,0,0,0,0,0,0,0,0,0,0
3.39,2,571,0,1,13,9,1,0,0,0,1,0,0,0,0,0
NA,NA,576,4,1,16,9,0,1,0,0,0,1,0,0,0,0
NA,NA,572,3,1,138,113,0,1,0,0,0,0,0,0,0,0
NA,NA,571,2,0,48,48,0,1,0,0,0,0,0,0,0,0
NA,NA,571,2,0,66.5,162.99,0,1,0,0,0,0,0,0,0,0
3.52,3.34,572,0,1,7,3,1,0,0,0,1,1,0,0,0,0
3.44,3,576,0,1,31,31,1,0,0,1,1,0,0,0,0,0
2.97,2,572,4,1,4,4,1,1,0,0,0,0,0,0,0,0
3.81,3.83,572,4,1,22,22,1,1,0,0,1,1,0,0,0,0
2.19,1.86,571,4,1,25,18,1,1,0,0,1,1,0,0,0,0
NA,NA,571,3,1,6,6,0,1,0,0,0,0,0,0,0,0
NA,NA,572,4,1,74,74,0,1,0,0,0,0,0,0,0,0
NA,NA,572,4,1,112,100,0,1,0,0,0,0,0,0,0,0
3.9,3.89,571,3,1,45,45,1,1,0,0,1,1,0,0,0,0
NA,NA,572,4,1,39,39,0,1,0,0,0,0,0,0,0,0
NA,NA,572,3,1,12,12,0,1,0,0,0,0,0,0,0,0
2.62,NA,572,3,1,18,212.98,0,1,0,0,0,0,0,0,0,0
NA,NA,571,4,0,66,66,0,1,0,0,0,0,0,0,0,0
NA,NA,572,2,1,79,170.99,0,1,0,0,0,0,0,0,0,0
NA,NA,571,1,1,74,69,0,0,0,0,0,0,0,0,0,0
NA,NA,571,4,1,52,52,0,1,0,0,0,0,0,0,0,0
NA,NA,571,4,1,78,78,0,1,0,0,0,0,0,0,0,0
NA,NA,571,2,1,38,25,0,1,0,0,0,0,0,0,0,0
NA,NA,571,4,1,18,18,0,1,0,0,0,0,0,0,0,0
3.99,4,572,4,1,21,21,1,1,0,0,1,1,0,0,0,0
NA,NA,572,2,1,17,14,0,1,0,0,0,0,0,0,0,0
NA,NA,571,0,1,48,40,0,0,0,0,0,0,0,0,0,0
3.16,3.23,571,0,1,75,162.99,1,0,0,0,0,1,0,0,0,0
2.86,1.28,576,3,1,14,14,1,1,0,0,0,0,0,0,0,0
2.01,2,572,0,1,13,6,0,0,0,0,0,1,0,0,0,0
3.37,3.79,571,3,1,77,158.99,0,1,0,0,0,1,0,0,0,0
2.9,1.75,571,0,1,31,24,0,0,0,0,0,1,0,0,0,0
3.11,3.31,572,3,1,22,19,1,1,0,1,1,1,0,0,0,0
NA,NA,571,3,0,74,74,0,1,0,0,0,0,0,0,0,0
NA,NA,571,3,1,94,94,0,1,0,0,0,0,0,0,0,0
3.04,2.83,576,3,1,39.5,36.5,1,1,0,1,1,1,0,0,0,0
NA,NA,572,4,1,56,56,0,1,0,0,0,0,0,0,0,0
2.74,2.13,571,2,1,60.5,44.5,1,1,0,0,0,1,0,0,0,0
NA,NA,572,3,1,42.75,42.75,0,1,0,0,0,0,0,0,0,0
2.83,2.28,576,0,1,7,4,1,0,0,0,1,1,0,0,0,0
NA,NA,571,1,1,62,49,0,0,0,0,0,0,0,0,0,0
3.12,3,571,1,1,75,75,0,0,0,0,0,0,0,0,0,0
2.5,2.62,572,3,1,10,10,1,1,0,0,1,1,0,0,0,0
1.98,2.35,572,4,1,77,72,0,1,0,0,0,0,0,0,0,0
2.78,1.62,572,0,1,78,64,1,0,0,0,0,1,0,0,0,0
3.16,3.08,572,0,1,28,11,0,0,0,1,0,0,0,0,0,0
2.56,1.78,572,3,1,78,78,1,1,0,0,0,1,0,0,0,0
4,NA,571,4,1,56,56,1,1,0,0,0,0,0,0,0,0
2.95,2.14,572,0,1,80,65,1,0,0,0,1,1,0,0,0,0
4,NA,572,3,1,48,35,0,1,0,0,0,0,0,0,0,0
NA,NA,571,4,1,15,15,0,1,0,0,0,0,0,0,0,0
3.68,NA,572,0,0,4,0,0,0,0,0,0,0,0,0,0,0
3.15,2.59,571,1,1,50,50,1,0,0,1,1,1,0,0,0,0
3.71,3.63,576,3,1,33,33,1,1,0,1,1,1,0,0,0,0
3.05,2.54,576,0,1,14,4,1,0,0,1,1,0,0,0,0,0
3.72,3.46,571,4,1,15,15,1,1,0,0,1,1,0,0,0,0
NA,NA,572,1,1,92,83,0,0,0,0,0,0,0,0,0,0
3.09,2.5,572,4,1,88.5,72.5,1,1,0,0,1,1,0,0,0,0
2.84,2.6,571,0,1,115,90,1,0,0,1,1,1,0,0,0,0
3.15,2.4,576,4,1,19,16,1,1,0,0,1,0,0,0,0,0
NA,NA,572,4,0,16,13,0,1,0,0,0,0,0,0,0,0
1.82,1.5,571,0,1,140,389.97,0,0,0,0,0,0,0,0,0,0
NA,NA,571,2,1,10,7,0,1,0,0,0,0,0,0,0,0
NA,NA,572,4,1,30,30,0,1,0,0,0,0,0,0,0,0
NA,NA,571,2,1,31,31,0,1,0,0,0,0,0,0,0,0
3.05,2.57,572,2,1,28,22,1,1,0,1,1,1,0,0,0,0
3.05,2.7,572,0,1,69,60,0,0,0,0,0,1,0,0,0,0
NA,NA,576,3,1,13,13,0,1,0,0,0,0,0,0,0,0
3.69,3.73,571,2,1,84,84,1,1,0,1,1,1,0,0,0,0
NA,NA,571,1,0,53,50,0,0,0,0,0,0,0,0,0,0
NA,NA,572,2,1,14,14,0,1,0,0,0,0,0,0,0,0
NA,NA,571,0,1,52,52,0,0,0,0,0,0,0,0,0,0
NA,NA,571,2,1,78,75,0,1,0,0,0,0,0,0,0,0
NA,NA,571,2,1,41,41,0,1,0,0,0,0,0,0,0,0
NA,NA,572,2,1,69,165.99,0,1,0,0,0,0,0,0,0,0
3.47,3,576,4,1,24,24,1,1,0,0,1,1,0,0,0,0
NA,NA,571,1,1,53,53,0,0,0,0,0,0,0,0,0,0
2.67,NA,572,0,0,74,165.99,0,0,0,0,0,0,0,0,0,0
3.41,3.51,571,2,1,105,97,1,1,0,1,0,1,0,0,0,0
3.13,2.83,572,3,1,118,313.98,1,1,0,0,1,1,0,0,0,0
3.2,3.25,576,0,1,34,16,0,0,0,1,0,1,0,0,0,0
NA,NA,571,1,1,63,60,0,0,0,0,0,0,0,0,0,0
3.23,3.13,572,2,1,25,13,1,1,0,0,1,1,0,0,0,0
2.2,2.5,572,4,1,79,79,0,1,0,0,0,1,0,0,0,0
2.91,2.7,572,3,1,85,76,0,1,0,1,0,0,0,0,0,0
NA,NA,571,4,1,78,171.99,0,1,0,0,0,0,0,0,0,0
2.9,2.53,572,4,1,70,60,1,1,0,0,1,0,0,0,0,0
3.52,3.22,572,4,1,14,14,1,1,0,0,1,1,0,0,0,0
3.66,3.67,571,4,1,76,171.99,1,1,0,0,1,1,0,0,0,0
2.73,1,572,0,1,32,12,1,0,0,0,0,0,0,0,0,0
NA,NA,571,4,0,64.5,64.5,0,1,0,0,0,0,0,0,0,0
2.58,2.95,572,2,1,15,4,1,1,0,1,1,1,0,0,0,0
NA,NA,576,0,1,8,4,0,0,0,0,0,0,0,0,0,0
NA,NA,572,2,0,109,178.49,0,1,0,0,0,0,0,0,0,0
2.69,1.35,571,1,1,84,78.5,1,0,0,0,1,1,0,0,0,0
3.79,NA,572,4,1,60,46,0,1,0,0,0,0,0,0,0,0
1.48,2,572,2,1,17,10,0,1,0,0,0,0,0,0,0,0
NA,NA,572,4,1,56,56,0,1,0,0,0,0,0,0,0,0
NA,NA,572,4,0,21,117.99,0,1,0,0,0,0,0,0,0,0
3.65,3.64,576,4,1,28,28,1,1,0,1,1,1,0,0,0,0
3.72,3.23,572,2,1,66,147.99,1,1,0,1,1,1,0,0,0,0
NA,NA,571,4,1,26,26,0,1,0,0,0,0,0,0,0,0
3.54,3.29,571,4,1,34,129.99,1,1,0,0,0,1,0,0,0,0
3.15,2.83,572,0,1,71,249.98,1,0,0,0,0,0,0,0,0,0
NA,NA,571,3,1,8,8,0,1,0,0,0,0,0,0,0,0
3.2,2.95,571,2,1,30,24,1,1,0,1,1,1,0,0,0,0
3.95,4,572,4,1,87,256.98,0,1,0,0,0,0,0,0,0,0
3.19,2.02,576,2,1,70,66,1,1,0,0,1,1,0,0,0,0
NA,NA,571,3,0,105,364.97,0,1,0,0,0,0,0,0,0,0
NA,NA,571,0,0,208,186,0,0,0,0,0,0,0,0,0,0
3.33,3.12,572,3,1,10,10,1,1,0,0,1,1,0,0,0,0
2.88,3.39,571,0,1,92,85,1,0,0,0,1,1,0,0,0,0
NA,NA,572,0,1,37,27,0,0,0,0,0,0,0,0,0,0
1.97,2.1,572,3,1,28,28,1,1,0,0,1,0,0,0,0,0
2.78,1.5,572,2,1,31,19,0,1,0,0,0,0,0,0,0,0
NA,NA,576,2,1,36,36,0,1,0,0,0,0,0,0,0,0
3.2,1.7,572,3,1,66.5,66.5,0,1,0,0,0,0,0,0,0,0
NA,NA,572,1,0,23,23,0,0,0,0,0,0,0,0,0,0
3.75,4,571,3,0,69,65,1,1,0,0,1,0,0,0,0,0
NA,NA,571,3,1,12,12,0,1,0,0,0,0,0,0,0,0
NA,NA,571,1,1,87.5,69.5,0,0,0,0,0,0,0,0,0,0
NA,NA,571,4,1,42,42,0,1,0,0,0,0,0,0,0,0
2.89,2.67,571,2,1,44.5,31.5,1,1,0,1,1,1,0,0,0,0
3.07,2.6,576,0,1,61,41,1,0,0,0,1,1,0,0,0,0
3.27,2.5,572,2,1,30,30,1,1,0,0,1,1,0,0,0,0
NA,NA,571,3,0,109.5,106.5,0,1,0,0,0,0,0,0,0,0
2.93,2.7,576,3,1,63,60,0,1,0,0,0,0,0,0,0,0
NA,NA,572,4,1,21,21,0,1,0,0,0,0,0,0,0,0
3.51,3.75,571,2,1,68,68,1,1,0,0,1,1,0,0,0,0
2.69,2.25,576,2,1,13,10,1,1,0,0,0,1,0,0,0,0
3.02,2.35,571,0,1,36.5,28.5,1,0,0,0,1,1,0,0,0,0
NA,NA,571,4,1,13,13,0,1,0,0,0,0,0,0,0,0
1.83,1.35,571,0,1,114,286.98,0,0,0,0,0,0,0,0,0,0
2.42,2.25,572,1,1,54,41,1,0,0,0,1,1,0,0,0,0
2.7,3,572,0,1,4,0,0,0,0,0,0,0,0,0,0,0
2.48,1.23,572,0,1,71.5,68.5,1,0,0,0,0,0,0,0,0,0
1.79,2.35,572,3,1,99,74,1,1,0,0,0,1,0,0,0,0
3.06,2.5,572,4,1,71,71,1,1,0,0,1,1,0,0,0,0
3.01,2.78,571,4,1,79,63,1,1,0,0,1,0,0,0,0,0
3.91,3.83,571,4,1,53,151.99,0,1,0,0,1,1,0,0,0,0
3.24,3.23,571,3,1,83.5,83.5,0,1,0,0,0,1,0,0,0,0
3.35,2.54,572,2,1,61,41,1,1,0,0,1,1,0,0,0,0
3.12,3,572,2,1,59.5,152.49,0,1,0,0,0,1,0,0,0,0
NA,NA,571,4,0,3,3,0,1,0,0,0,0,0,0,0,0
NA,NA,572,4,1,97,78,0,1,0,0,0,0,0,0,0,0
NA,NA,571,2,1,17,17,0,1,0,0,0,0,0,0,0,0
3.75,3.89,576,4,1,32,128.99,1,1,0,1,1,1,0,0,0,0
2.87,3,572,0,1,14,4,0,0,0,1,0,0,0,0,0,0
3.6,3,571,3,1,76,76,1,1,0,0,1,0,0,0,0,0
2.6,1.45,572,0,1,80,51,1,0,0,0,0,0,0,0,0,0
NA,NA,571,3,0,123.5,111.5,0,1,0,0,0,0,0,0,0,0
3.67,3.47,572,4,1,61,61,1,1,0,0,1,1,0,0,0,0
3.78,3.78,571,4,1,4,4,1,1,0,0,1,0,0,0,0,0
3.15,2.7,571,4,1,101,100,1,1,0,0,1,1,0,0,0,0
3.63,3.5,571,4,1,89,89,0,1,0,1,0,1,0,0,0,0
NA,NA,576,4,1,36,36,0,1,0,0,0,0,0,0,0,0
NA,NA,571,0,1,69,60,0,0,0,0,0,0,0,0,0,0
NA,NA,572,3,1,62,62,0,1,0,0,0,0,0,0,0,0
NA,NA,572,4,1,73,67,0,1,0,0,0,0,0,0,0,0
NA,NA,572,0,1,8,3,0,0,0,0,0,0,0,0,0,0
NA,NA,572,4,1,116,204.99,0,1,0,0,0,0,0,0,0,0
NA,NA,572,4,1,7,7,0,1,0,0,0,0,0,0,0,0
