HSLGOverallCumulativeGradePointAverage,HSLGMathematicsCumulativeGradePointAverage,CCENCRFLCollegeCode,CCENCRFLCourseMarkPoints,CCIsMultiCollege,CCTransferableUnitsAttempted,CCTransferableUnitsEarned,GPA_present,cc_first_course_success_ind,pre_alg_up11_c,alg_i_up11_c,alg_ii_up11_c,geo_up11_c,trig_up11_c,pre_calc_up11_c,calc_up11_c,stat_up11_c
NA,NA,571,2,1,8,8,0,1,0,0,0,0,0,0,0,0
NA,NA,571,3,0,48,48,0,1,0,0,0,0,0,0,0,0
2.94,1,571,3,0,14,14,0,1,0,0,0,0,0,0,0,0
2.7,2.9,571,2,1,96,76,1,1,0,1,1,1,0,0,0,0
NA,NA,572,4,0,14,14,0,1,0,0,0,0,0,0,0,0
3.56,2.93,572,4,1,19,19,1,1,0,0,1,0,0,0,0,0
3.31,3.63,572,4,1,71,71,1,1,0,1,1,1,0,0,0,0
3.25,2.18,571,2,1,73,73,1,1,0,0,1,1,0,0,0,0
NA,NA,571,3,1,57,57,0,1,0,0,0,0,0,0,0,0
NA,NA,571,0,0,69,66,0,0,0,0,0,0,0,0,0,0
2.81,1.5,571,1,1,46.5,38.5,0,0,0,1,0,0,0,0,0,0
NA,NA,576,3,1,25,21,0,1,0,0,0,0,0,0,0,0
1.95,0,571,2,1,4,4,0,1,0,0,0,0,0,0,0,0
NA,NA,572,0,1,23,9,0,0,0,0,0,0,0,0,0,0
NA,NA,571,2,1,121,187.99,0,1,0,0,0,0,0,0,0,0
NA,NA,571,4,1,63,63,0,1,0,0,0,0,0,0,0,0
NA,NA,571,0,0,6,0,0,0,0,0,0,0,0,0,0,0
NA,NA,572,3,0,60,60,0,1,0,0,0,0,0,0,0,0
2.58,2.18,571,0,1,97,61,1,0,0,0,0,1,0,0,0,0
NA,NA,571,4,1,54,32,0,1,0,0,0,0,0,0,0,0
NA,NA,572,4,1,53,53,0,1,0,0,0,0,0,0,0,0
3.92,3.93,571,3,1,40,40,1,1,0,0,1,1,0,0,0,0
3.17,3.1,571,2,1,64,60.5,1,1,0,0,1,1,0,0,0,0
2.92,1.78,571,0,1,22,14,1,0,0,0,0,1,0,0,0,0
2.47,1.98,571,0,1,68,58,0,0,0,0,0,1,0,0,0,0
NA,NA,572,4,0,55.5,55.5,0,1,0,0,0,0,0,0,0,0
2.85,2.1,571,2,1,39,36,1,1,0,0,1,1,0,0,0,0
3.63,3.83,572,3,1,60,60,0,1,0,0,0,1,0,0,0,0
NA,NA,572,0,1,72,53,0,0,0,0,0,0,0,0,0,0
3.38,2.77,571,4,1,14,14,1,1,0,0,1,0,0,0,0,0
NA,NA,572,3,0,60,60,0,1,0,0,0,0,0,0,0,0
NA,NA,571,2,1,67,67,0,1,0,0,0,0,0,0,0,0
NA,NA,572,3,0,64,61,0,1,0,0,0,0,0,0,0,0
NA,NA,571,0,1,63,53,0,0,0,0,0,0,0,0,0,0
NA,NA,572,4,1,68,164.99,0,1,0,0,0,0,0,0,0,0
NA,NA,572,3,0,36,36,0,1,0,0,0,0,0,0,0,0
NA,NA,572,4,1,79.5,79.5,0,1,0,0,0,0,0,0,0,0
NA,NA,572,3,1,62,62,0,1,0,0,0,0,0,0,0,0
NA,NA,576,2,1,64,64,0,1,0,0,0,0,0,0,0,0
NA,NA,572,4,1,30,27,0,1,0,0,0,0,0,0,0,0
3.44,2.64,571,2,1,90,90,1,1,0,0,1,1,0,0,0,0
3.23,2.97,572,4,1,62,56,1,1,0,1,1,1,0,0,0,0
3.21,2.88,572,3,1,63,63,1,1,0,1,1,1,0,0,0,0
2.98,2.66,572,2,1,115,93,1,1,0,1,1,1,0,0,0,0
3.48,3.28,572,4,1,8,8,0,1,0,1,0,0,0,0,0,0
2.99,2.14,576,0,1,46,42,1,0,0,1,1,1,0,0,0,0
NA,NA,572,0,1,3,0.25,0,0,0,0,0,0,0,0,0,0
2.32,1.96,572,3,1,74,69,1,1,0,0,0,1,0,0,0,0
2.62,2.57,576,0,1,50,47,1,0,0,0,0,1,0,0,0,0
NA,NA,571,2,0,29,29,0,1,0,0,0,0,0,0,0,0
NA,NA,571,3,0,47,143.99,0,1,0,0,0,0,0,0,0,0
NA,NA,572,0,1,6,0,0,0,0,0,0,0,0,0,0,0
2.41,2.08,571,0,1,46,31,1,0,0,0,1,1,0,0,0,0
NA,NA,571,2,1,67,61,0,1,0,0,0,0,0,0,0,0
NA,NA,571,0,1,83,366.97,0,0,0,0,0,0,0,0,0,0
NA,NA,571,4,0,68,68,0,1,0,0,0,0,0,0,0,0
2.67,2.54,571,0,1,90,79,1,0,0,0,1,0,0,0,0,0
3.42,3.59,576,3,1,36,36,1,1,0,1,1,1,0,0,0,0
3.26,2.88,571,0,1,15,7,1,0,0,0,1,1,0,0,0,0
3.29,2.9,572,2,1,30,24,1,1,0,0,1,1,0,0,0,0
NA,NA,572,3,1,72,68,0,1,0,0,0,0,0,0,0,0
3.15,1.9,571,3,1,66,66,1,1,0,0,0,1,0,0,0,0
2.49,2.3,576,0,1,60,53,1,0,0,0,1,1,0,0,0,0
1.88,1.42,571,0,1,39,21,1,0,0,0,0,1,0,0,0,0
3.86,3.94,576,4,1,10,10,1,1,0,1,1,1,0,0,0,0
2.45,2.5,572,0,1,14,0,1,0,0,0,1,0,0,0,0,0
NA,NA,572,3,1,29,29,0,1,0,0,0,0,0,0,0,0
NA,NA,571,0,1,76,65,0,0,0,0,0,0,0,0,0,0
3.09,2.57,572,3,1,70,70,1,1,0,0,1,0,0,0,0,0
NA,NA,572,0,0,67,67,0,0,0,0,0,0,0,0,0,0
3.15,2.32,576,2,1,26,26,1,1,0,0,0,1,0,0,0,0
NA,NA,571,0,1,24,21,0,0,0,0,0,0,0,0,0,0
3.65,3.64,571,4,1,54,54,1,1,0,0,1,1,0,0,0,0
NA,NA,572,0,1,53,40,0,0,0,0,0,0,0,0,0,0
NA,NA,571,0,1,90,281.98,0,0,0,0,0,0,0,0,0,0
2.83,1.45,571,0,1,27,23,1,0,0,0,0,0,0,0,0,0
NA,NA,572,0,1,64,52,0,0,0,0,0,0,0,0,0,0
NA,NA,572,0,1,83,79,0,0,0,0,0,0,0,0,0,0
NA,NA,572,2,1,4,4,0,1,0,0,0,0,0,0,0,0
3.9,3.96,571,4,1,56,52,1,1,0,0,1,1,0,0,0,0
NA,NA,571,0,1,7,0,0,0,0,0,0,0,0,0,0,0
NA,NA,572,3,0,71,71,0,1,0,0,0,0,0,0,0,0
2.37,2.26,571,0,1,54,27,1,0,0,0,0,1,0,0,0,0
NA,NA,572,3,1,62.5,50,0,1,0,0,0,0,0,0,0,0
NA,NA,572,3,1,23,23,0,1,0,0,0,0,0,0,0,0
2.54,1.8,571,0,1,NA,NA,1,0,0,0,0,1,0,0,0,0
NA,NA,572,3,1,17,14,0,1,0,0,0,0,0,0,0,0
NA,NA,572,4,1,64,64,0,1,0,0,0,0,0,0,0,0
NA,NA,572,4,1,21,18,0,1,0,0,0,0,0,0,0,0
NA,NA,572,4,1,63,63,0,1,0,0,0,0,0,0,0,0
3.72,3.15,572,4,1,4,4,0,1,0,0,0,1,0,0,0,0
NA,NA,571,3,1,53,53,0,1,0,0,0,0,0,0,0,0
1.93,2.43,572,0,1,34,23,0,0,0,0,1,1,0,0,0,0
3.11,2.83,572,0,0,60,60,1,0,0,1,1,1,0,0,0,0
NA,NA,572,2,1,14,14,0,1,0,0,0,0,0,0,0,0
NA,NA,571,2,1,70,70,0,1,0,0,0,0,0,0,0,0
NA,NA,571,3,0,6,6,0,1,0,0,0,0,0,0,0,0
3.99,3.95,571,4,1,12,12,1,1,0,0,1,1,0,0,0,0
2.99,2.47,571,3,1,51,47,1,1,0,1,1,1,0,0,0,0
NA,NA,572,3,1,108,105,0,1,0,0,0,0,0,0,0,0
2.93,2.03,572,0,1,8,0,1,0,0,0,1,1,0,0,0,0
1.5,NA,572,4,1,66,162.99,0,1,0,0,0,0,0,0,0,0
2,NA,572,3,1,62,52,0,1,0,0,0,0,0,0,0,0
3.51,2.85,572,3,1,60,53,1,1,0,0,1,0,0,0,0,0
NA,NA,572,3,1,46,46,0,1,0,0,0,0,0,0,0,0
NA,NA,571,4,0,81,76,0,1,0,0,0,0,0,0,0,0
3.32,NA,572,3,1,63,63,0,1,0,0,0,0,0,0,0,0
3.5,3.5,572,3,1,20,115.99,0,1,0,0,0,0,0,0,0,0
2.58,2.02,572,0,1,33,26,1,0,0,0,0,0,0,0,0,0
NA,NA,572,2,1,64,157.99,0,1,0,0,0,0,0,0,0,0
2.13,1.6,571,2,1,65,50,1,1,0,0,1,0,0,0,0,0
3.97,3.86,571,4,1,74.5,74.5,1,1,0,0,1,1,0,0,0,0
NA,NA,571,4,0,3,3,0,1,0,0,0,0,0,0,0,0
1.89,2.1,571,0,1,19,9,1,0,0,1,1,0,0,0,0,0
2.65,3.03,572,2,1,67,67,0,1,0,1,0,0,0,0,0,0
2.56,2.25,571,2,1,52,49,1,1,0,0,1,1,0,0,0,0
NA,NA,572,4,1,16,112.99,0,1,0,0,0,0,0,0,0,0
NA,NA,571,4,1,89,78,0,1,0,0,0,0,0,0,0,0
NA,NA,571,2,0,36,36,0,1,0,0,0,0,0,0,0,0
NA,NA,572,3,1,60,60,0,1,0,0,0,0,0,0,0,0
NA,NA,572,0,1,77,73,0,0,0,0,0,0,0,0,0,0
NA,NA,572,2,1,4,4,0,1,0,0,0,0,0,0,0,0
3.5,NA,572,3,1,4,4,1,1,0,0,0,0,0,0,0,0
2.86,1.69,571,0,1,18,0,1,0,0,0,0,1,0,0,0,0
2.74,2.45,572,0,1,43,36,1,0,0,0,1,1,0,0,0,0
NA,NA,572,4,1,71,166.99,0,1,0,0,0,0,0,0,0,0
NA,NA,571,3,1,78,68,0,1,0,0,0,0,0,0,0,0
NA,NA,572,3,0,4,4,0,1,0,0,0,0,0,0,0,0
2.94,1.9,576,2,1,56,49,1,1,0,0,0,1,0,0,0,0
2.35,3.1,571,0,1,66,47,1,0,0,1,1,1,0,0,0,0
NA,NA,572,0,1,19,12,0,0,0,0,0,0,0,0,0,0
3.13,2.16,576,3,1,47,28,1,1,0,1,1,1,0,0,0,0
3.14,2.55,572,0,1,121.5,264.98,1,0,0,0,1,1,0,0,0,0
3.12,2.97,571,2,1,23,114.99,1,1,0,0,1,1,0,0,0,0
2.91,2.35,572,3,1,101,82,1,1,0,0,0,0,0,0,0,0
3,3,572,2,1,71,68,1,1,0,0,1,0,0,0,0,0
NA,NA,572,2,0,15,15,0,1,0,0,0,0,0,0,0,0
NA,NA,572,3,0,4,4,0,1,0,0,0,0,0,0,0,0
NA,NA,572,0,1,55,51,0,0,0,0,0,0,0,0,0,0
2.26,2.18,571,1,1,44,15,1,0,0,1,1,0,0,0,0,0
3.16,3.57,572,4,1,89,85,0,1,0,1,0,0,0,0,0,0
NA,NA,572,2,1,39,36,0,1,0,0,0,0,0,0,0,0
2.56,2.71,571,0,1,91.5,74.5,1,0,0,0,1,0,0,0,0,0
NA,NA,572,0,1,4,4,0,0,0,0,0,0,0,0,0,0
NA,NA,572,3,1,80,80,0,1,0,0,0,0,0,0,0,0
NA,NA,572,3,1,57,57,0,1,0,1,0,0,0,0,0,0
NA,NA,571,2,1,68,162.99,0,1,0,0,0,0,0,0,0,0
NA,NA,571,1,1,15,15,0,0,0,0,0,0,0,0,0,0
NA,NA,571,1,1,76,152.99,0,0,0,0,0,0,0,0,0,0
NA,NA,572,4,1,82,174.99,0,1,0,0,0,0,0,0,0,0
NA,NA,572,0,1,5,5,0,0,0,0,0,0,0,0,0,0
2.78,2.38,571,0,1,29,22,1,0,0,0,0,1,0,0,0,0
NA,NA,571,1,0,44,44,0,0,0,0,0,0,0,0,0,0
NA,NA,572,2,1,88.5,88.5,0,1,0,0,0,0,0,0,0,0
3.05,2.28,571,0,1,55.5,49.5,1,0,0,0,1,1,0,0,0,0
3.98,4,576,4,1,21,21,1,1,0,0,1,1,0,0,0,0
2.09,2.28,571,4,1,82,73,0,1,0,1,0,0,0,0,0,0
3.59,3.75,576,1,1,45,134.99,1,0,0,1,1,1,0,0,0,0
NA,NA,572,1,1,48,34,0,0,0,0,0,0,0,0,0,0
NA,NA,571,0,1,41,34,0,0,0,0,0,0,0,0,0,0
2.92,2.93,571,0,1,107,93,1,0,0,1,1,1,0,0,0,0
3.21,3,571,0,1,26,104.99,1,0,0,0,1,0,0,0,0,0
NA,NA,571,4,0,7,7,0,1,0,0,0,0,0,0,0,0
NA,NA,571,0,0,84,179.99,0,0,0,0,0,0,0,0,0,0
3.77,3.49,576,3,1,14,14,1,1,0,0,1,1,0,0,0,0
NA,NA,572,0,1,48,144.99,0,0,0,0,0,0,0,0,0,0
NA,NA,571,3,1,57,57,0,1,0,0,0,0,0,0,0,0
2.55,2,572,0,1,55.5,49.5,1,0,0,0,0,0,0,0,0,0
2.5,NA,572,0,1,13,9,1,0,0,0,0,0,0,0,0,0
NA,NA,576,3,1,69,69,0,1,0,0,0,0,0,0,0,0
NA,NA,572,2,1,10,10,0,1,0,0,0,0,0,0,0,0
1.67,0,571,0,1,38,31,1,0,0,0,0,0,0,0,0,0
2.66,1.96,571,0,1,36,12,1,0,0,0,0,1,0,0,0,0
2.47,2.3,571,2,1,46,33,0,1,0,0,0,1,0,0,0,0
NA,NA,572,2,1,30,20,0,1,0,0,0,0,0,0,0,0
NA,NA,571,3,1,17,17,0,1,0,0,0,0,0,0,0,0
NA,NA,572,0,0,54,136.99,0,0,0,0,0,0,0,0,0,0
NA,NA,571,4,0,8,8,0,1,0,0,0,0,0,0,0,0
2.95,2.06,571,3,1,16,16,1,1,0,0,1,1,0,0,0,0
NA,NA,572,4,1,59,59,0,1,0,0,0,0,0,0,0,0
3.54,3.18,571,4,1,17,17,1,1,0,0,1,1,0,0,0,0
3.15,2.62,572,4,1,10,10,1,1,0,0,1,1,0,0,0,0
3.13,2.9,572,2,1,42,42,1,1,0,0,1,1,0,0,0,0
2.64,2.44,571,4,1,58.5,131.49,1,1,0,0,1,1,0,0,0,0
3.53,2.93,576,2,1,52,42,1,1,0,0,1,1,0,0,0,0
NA,NA,572,2,1,18,18,0,1,0,0,0,0,0,0,0,0
NA,NA,571,1,1,69,264.98,0,0,0,0,0,0,0,0,0,0
NA,NA,572,3,0,63,63,0,1,0,0,0,0,0,0,0,0
NA,NA,571,0,0,100,80,0,0,0,0,0,0,0,0,0,0
2.7,1.56,571,0,1,39,22,1,0,0,0,0,0,0,0,0,0
NA,NA,576,3,0,30,126.99,0,1,0,0,0,0,0,0,0,0
NA,NA,571,0,1,38,124.99,0,0,0,0,0,0,0,0,0,0
NA,NA,572,4,1,53,53,0,1,0,0,0,0,0,0,0,0
2.61,1.5,572,0,1,36,16,1,0,0,0,1,1,0,0,0,0
NA,NA,572,0,1,79,72,0,0,0,0,0,0,0,0,0,0
3.02,2.34,571,3,1,7,7,1,1,0,0,0,0,0,0,0,0
2.84,1.56,571,0,1,34.5,30.5,1,0,0,1,0,1,0,0,0,0
2.81,2.53,571,0,1,23,9,1,0,0,0,1,1,0,0,0,0
2.63,1,572,0,1,30,16,1,0,0,0,0,0,0,0,0,0
3.35,2.22,576,4,1,28,28,1,1,0,0,1,1,0,0,0,0
NA,NA,572,4,1,17,17,0,1,0,0,0,0,0,0,0,0
3.5,3,571,3,1,56,41,0,1,0,1,0,1,0,0,0,0
NA,NA,572,4,1,40,19,0,1,0,0,0,0,0,0,0,0
NA,NA,571,2,0,65,361.97,0,1,0,0,0,0,0,0,0,0
3.42,2.65,572,4,1,81,81,1,1,0,0,1,0,0,0,0,0
NA,NA,576,4,1,60,55,0,1,0,0,0,0,0,0,0,0
2.38,1.65,572,2,1,67,64,0,1,0,0,0,0,0,0,0,0
2.68,2.3,571,0,1,32,5,1,0,0,0,1,1,0,0,0,0
NA,NA,572,4,1,47,47,0,1,0,0,0,0,0,0,0,0
3.55,3.38,571,3,1,101,79,1,1,0,0,1,1,0,0,0,0
NA,NA,572,4,1,74,74,0,1,0,0,0,0,0,0,0,0
NA,NA,571,0,0,35,122.99,0,0,0,0,0,0,0,0,0,0
2.35,2.55,572,0,1,49,35,1,0,0,1,1,1,0,0,0,0
NA,NA,572,3,1,4,4,0,1,0,0,0,0,0,0,0,0
NA,NA,571,2,0,72,261.98,0,1,0,0,0,0,0,0,0,0
3.61,3.78,571,3,1,43,43,1,1,0,0,1,1,0,0,0,0
3.35,NA,572,3,1,4,4,0,1,0,0,0,0,0,0,0,0
NA,NA,572,1,1,66,58,0,0,0,0,0,0,0,0,0,0
1.94,1.12,572,0,1,51.5,47.5,0,0,0,0,0,0,0,0,0,0
3.39,2.22,572,2,1,66,147.99,1,1,0,1,1,1,0,0,0,0
2.99,3.08,576,2,1,19,19,1,1,0,1,0,0,0,0,0,0
2.29,2.85,572,0,1,42,12,0,0,0,1,0,1,0,0,0,0
3.77,3.5,571,0,1,65,48,1,0,0,0,1,1,0,0,0,0
NA,NA,571,3,1,55.5,154.49,0,1,0,0,1,1,0,0,0,0
NA,NA,572,4,1,4,4,0,1,0,0,0,0,0,0,0,0
3.28,2.95,572,3,1,69,53,1,1,0,0,1,0,0,0,0,0
NA,NA,571,0,0,45,36,0,0,0,0,0,0,0,0,0,0
NA,NA,571,4,1,4,4,0,1,0,0,0,0,0,0,0,0
NA,NA,572,4,1,37,34,0,1,0,0,0,0,0,0,0,0
2.78,1.31,572,3,1,85,68,1,1,0,0,0,0,0,0,0,0
3.94,4,576,0,1,91.5,83.5,1,0,0,0,1,0,0,0,0,0
NA,NA,576,3,1,69,69,0,1,0,0,1,0,0,0,0,0
3.11,2.58,571,0,1,19,15,1,0,0,0,0,1,0,0,0,0
NA,NA,571,4,0,47,47,0,1,0,0,0,0,0,0,0,0
3.55,2.67,572,4,1,38,38,1,1,0,1,1,1,0,0,0,0
NA,NA,571,3,1,44,40,0,1,0,0,0,0,0,0,0,0
3.8,4,572,3,1,4,4,1,1,0,0,1,0,0,0,0,0
2,NA,572,0,1,22,7,0,0,0,0,0,0,0,0,0,0
4,4,572,4,1,8,103.99,0,1,0,0,0,1,0,0,0,0
NA,NA,571,3,1,57,57,0,1,0,0,0,0,0,0,0,0
NA,NA,572,2,0,4,4,0,1,0,0,0,0,0,0,0,0
2.32,1.9,572,0,0,3,3,1,0,0,0,0,0,0,0,0,0
NA,NA,571,3,0,10,10,0,1,0,0,0,0,0,0,0,0
NA,NA,572,0,1,43,19,0,0,0,0,0,0,0,0,0,0
NA,NA,572,4,1,67.5,157.99,0,1,0,0,0,0,0,0,0,0
NA,NA,572,2,1,10,10,0,1,0,0,0,0,0,0,0,0
NA,NA,572,3,1,67,67,0,1,0,0,0,0,0,0,0,0
NA,NA,571,4,1,7,7,0,1,0,0,0,0,0,0,0,0
NA,NA,572,2,1,69,69,0,1,0,0,0,0,0,0,0,0
NA,NA,572,4,1,4,4,0,1,0,0,0,0,0,0,0,0
NA,NA,572,2,1,66,66,0,1,0,0,0,0,0,0,0,0
2.67,2.17,572,0,1,49,45,1,0,0,0,0,1,0,0,0,0
3.18,1,572,3,1,88,78,1,1,0,0,0,0,0,0,0,0
3.6,3.18,571,2,1,42,33,1,1,0,0,1,1,0,0,0,0
3.35,2.88,571,4,1,70,70,1,1,0,1,1,1,0,0,0,0
NA,NA,572,4,0,22,18,0,1,0,0,0,0,0,0,0,0
NA,NA,571,0,1,51.5,41.5,0,0,0,0,0,0,0,0,0,0
2.98,2.17,572,4,1,85,85,1,1,0,0,1,1,0,0,0,0
1.79,1.44,572,0,1,16,3,1,0,0,0,0,1,0,0,0,0
1.52,2.23,571,2,1,24,4,1,1,0,0,0,1,0,0,0,0
NA,NA,572,3,1,17,17,0,1,0,0,0,0,0,0,0,0
NA,NA,571,3,1,95,90,0,1,0,0,0,0,0,0,0,0
NA,NA,571,2,1,79,75,0,1,0,0,0,0,0,0,0,0
2.57,2.28,572,2,1,40,33,1,1,0,0,1,0,0,0,0,0
NA,NA,572,2,1,19,16,0,1,0,0,0,0,0,0,0,0
NA,NA,572,0,1,70,56,0,0,0,0,0,0,0,0,0,0
NA,NA,571,0,1,54,50,0,0,0,0,0,0,0,0,0,0
4,4,571,4,1,70,70,0,1,0,0,0,0,0,0,0,0
NA,NA,572,4,1,41,41,0,1,0,0,0,0,0,0,0,0
3.13,2.77,572,4,1,59,59,1,1,0,0,1,1,0,0,0,0
NA,NA,571,4,0,44,44,0,1,0,0,0,0,0,0,0,0
NA,NA,572,3,0,67,67,0,1,0,0,0,0,0,0,0,0
NA,NA,572,0,0,16,6,0,0,0,0,0,0,0,0,0,0
NA,NA,571,4,1,79,77,0,1,0,0,0,0,0,0,0,0
NA,NA,572,2,1,28,20,0,1,0,0,0,0,0,0,0,0
2.77,NA,571,2,1,67,157.99,1,1,0,0,0,0,0,0,0,0
NA,NA,572,3,0,13,13,0,1,0,0,0,0,0,0,0,0
3.28,3.1,572,2,1,29,29,1,1,0,0,1,0,0,0,0,0
2.3,2.35,571,0,1,31,23,1,0,0,1,1,1,0,0,0,0
3.54,3.1,571,3,1,133,133,1,1,0,1,1,1,0,0,0,0
3.63,3.12,576,4,1,16,16,1,1,0,0,1,1,0,0,0,0
NA,NA,572,0,1,14,10,0,0,0,0,0,0,0,0,0,0
NA,NA,571,0,0,24,216.98,0,0,0,0,0,0,0,0,0,0
NA,NA,572,4,1,19,19,0,1,0,0,0,0,0,0,0,0
3.25,1.95,572,2,1,47,41,0,1,0,1,0,0,0,0,0,0
NA,NA,572,0,0,10,0,0,0,0,0,0,0,0,0,0,0
2.63,1.62,571,0,1,31.5,31.5,1,0,0,1,0,0,0,0,0,0
NA,NA,571,0,1,13,13,0,0,0,0,0,0,0,0,0,0
NA,NA,571,0,0,201.5,164.5,0,0,0,0,0,0,0,0,0,0
NA,NA,571,2,1,77,77,0,1,0,0,0,0,0,0,0,0
2.92,2.76,571,0,1,63.5,32,1,0,0,1,0,1,0,0,0,0
NA,NA,571,4,0,56,56,0,1,0,0,0,0,0,0,0,0
2.89,1.9,571,0,1,95,76,1,0,0,0,0,1,0,0,0,0
NA,NA,572,2,1,64.5,64.5,0,1,0,0,0,0,0,0,0,0
NA,NA,572,4,1,4,4,0,1,0,0,0,0,0,0,0,0
NA,NA,571,4,1,20,20,0,1,0,0,0,0,0,0,0,0
2.15,1.76,571,0,1,12,5,1,0,0,0,1,1,0,0,0,0
NA,NA,572,0,1,29,26,0,0,0,0,0,0,0,0,0,0
3.34,2.9,571,2,1,32,32,1,1,0,0,1,1,0,0,0,0
2.09,2.1,571,0,1,22,7,1,0,0,1,0,1,0,0,0,0
3.29,3.35,572,3,1,41,41,0,1,0,0,0,1,0,0,0,0
3.14,2.67,571,0,1,34,27,1,0,0,0,1,1,0,0,0,0
3.67,2,571,4,1,20,20,1,1,0,0,0,0,0,0,0,0
3.45,3.28,576,3,1,50,50,1,1,0,0,1,1,0,0,0,0
NA,NA,571,2,1,11,11,0,1,0,0,0,0,0,0,0,0
NA,NA,572,4,1,10,10,0,1,0,0,0,0,0,0,0,0
2.81,NA,572,0,1,20,3,1,0,0,0,0,0,0,0,0,0
NA,NA,576,4,1,41,38,0,1,0,0,0,0,0,0,0,0
NA,NA,572,4,1,14,14,0,1,0,0,0,0,0,0,0,0
3.15,2.81,571,4,1,46,42,1,1,0,0,1,1,0,0,0,0
3.12,2.45,572,3,1,37,37,1,1,0,1,1,0,0,0,0,0
NA,NA,572,3,1,45,40,0,1,0,0,0,0,0,0,0,0
3.27,2.58,572,0,1,68,56,1,0,0,0,1,0,0,0,0,0
NA,NA,572,4,1,33,33,0,1,0,0,0,0,0,0,0,0
NA,NA,572,0,1,78,164.99,0,0,0,0,0,0,0,0,0,0
NA,NA,572,0,0,4,0,0,0,0,0,0,0,0,0,0,0
NA,NA,572,3,1,4,4,0,1,0,0,0,0,0,0,0,0
3.11,1.35,576,3,1,10,10,1,1,0,0,1,0,0,0,0,0
NA,NA,571,2,1,80,76,0,1,0,0,0,0,0,0,0,0
NA,NA,572,1,1,35,35,0,0,0,0,0,0,0,0,0,0
NA,NA,572,2,1,13,13,0,1,0,0,0,0,0,0,0,0
NA,NA,571,3,0,11,11,0,1,0,0,0,0,0,0,0,0
2.9,2.5,571,2,1,82,72,1,1,0,0,0,1,0,0,0,0
3.23,2.2,571,2,1,44,41,0,1,0,0,0,0,0,0,0,0
NA,NA,572,3,1,64,64,0,1,0,0,0,0,0,0,0,0
3.24,2.28,571,3,1,64,64,1,1,0,0,1,1,0,0,0,0
3.08,2.68,571,4,1,82,82,1,1,0,0,1,1,0,0,0,0
NA,NA,572,3,1,22,22,0,1,0,0,0,0,0,0,0,0
2.96,2.07,571,4,1,63,63,1,1,0,0,0,1,0,0,0,0
NA,NA,571,2,0,87,67,0,1,0,0,0,0,0,0,0,0
NA,NA,571,4,1,13,13,0,1,0,0,0,0,0,0,0,0
NA,NA,571,1,0,15,12,0,0,0,0,0,0,0,0,0,0
2.4,2.18,572,0,1,83,72,0,0,0,1,0,0,0,0,0,0
3.63,3.39,571,2,1,149.5,148.5,1,1,0,1,1,1,0,0,0,0
NA,NA,572,1,1,32,17,0,0,0,1,1,1,0,0,0,0
NA,NA,571,2,1,68,68,0,1,0,0,0,0,0,0,0,0
NA,NA,572,3,1,53,53,0,1,0,0,0,0,0,0,0,0
2.66,2.92,571,3,1,103,94,1,1,0,0,0,1,0,0,0,0
2.51,2.94,576,2,1,70,67,1,1,0,1,0,1,0,0,0,0
NA,NA,571,1,1,15,12,0,0,0,0,0,0,0,0,0,0
NA,NA,571,1,1,12,12,0,0,0,0,0,0,0,0,0,0
NA,NA,572,4,1,18,112.99,0,1,0,0,0,0,0,0,0,0
NA,NA,571,3,1,70,70,0,1,0,0,0,0,0,0,0,0
NA,NA,571,3,1,55,52,0,1,0,0,0,0,0,0,0,0
3.62,3.76,576,3,1,17,17,1,1,0,1,1,1,0,0,0,0
3.13,2,576,3,1,54,41,1,1,0,0,1,1,0,0,0,0
NA,NA,572,2,1,125.5,99.5,0,1,0,0,0,0,0,0,0,0
NA,NA,571,2,1,109,105,0,1,0,0,0,0,0,0,0,0
NA,NA,571,0,1,10,10,0,0,0,0,0,0,0,0,0,0
NA,NA,572,3,1,60,60,0,1,0,0,0,0,0,0,0,0
3.56,3,571,2,1,67,67,1,1,0,0,1,0,0,0,0,0
NA,NA,576,4,1,62,62,0,1,0,0,0,0,0,0,0,0
2.83,2.58,572,4,1,74,57,1,1,0,0,1,1,0,0,0,0
3.29,2.72,572,3,1,71,169.99,1,1,0,1,1,1,0,0,0,0
2.52,2.44,571,2,1,11,11,1,1,0,0,1,1,0,0,0,0
NA,NA,572,0,1,9,6,0,0,0,0,0,0,0,0,0,0
NA,NA,572,4,0,54.5,43.5,0,1,0,0,0,0,0,0,0,0
3.33,3,571,0,1,7,3,0,0,0,0,0,1,0,0,0,0
NA,NA,571,0,1,46,27,0,0,0,0,0,0,0,0,0,0
3.83,3.85,576,4,1,10,10,1,1,0,0,1,1,0,0,0,0
2.88,2.24,571,1,1,25,25,1,0,0,0,0,1,0,0,0,0
NA,NA,572,2,1,70,63,0,1,0,0,0,0,0,0,0,0
2.75,3,571,0,1,25,0,1,0,0,0,1,0,0,0,0,0
2.8,1.75,572,3,1,32,23,1,1,0,0,0,0,0,0,0,0
NA,NA,571,3,1,38,24,0,1,0,0,0,0,0,0,0,0
NA,NA,572,2,1,7,7,0,1,0,0,0,0,0,0,0,0
3.57,NA,572,4,1,53,53,1,1,0,0,0,0,0,0,0,0
NA,NA,572,3,0,14.5,14.5,0,1,0,0,0,0,0,0,0,0
NA,NA,572,2,1,20,10,0,1,0,0,0,0,0,0,0,0
NA,NA,571,0,1,51,135.99,0,0,0,0,0,0,0,0,0,0
